"시나리오별","시도별","성별","연령별","항목","단위","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","55 - 59세","추계인구","","846448","874484","872562","874616","890487","919381","951865","993395","1047164","1097369","1130835","1144240","1159080","1181647","1215411","1258578","1306470","1369732","1441506","1516598","1589504","1674389","1749203","1820265","1881895","1927926","1961234","2011322","2029040","2016474","2006389","2008937","2041047","2105442","2196938","2285610","2363424","2441497","2518813","2611705","2817315","3065255","3241925","3457310","3699016","3884217","4134915","4225899","4340508","4295393","4237067","4113626","4113957","4070751","4246026",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","60 - 64세","추계인구","","658773","684845","689332","698262","698520","709170","744604","773967","793066","811766","835876","860174","893176","935774","977601","1010305","1035168","1055954","1079622","1111801","1156731","1205934","1267444","1332971","1404302","1488523","1587609","1659101","1724288","1779701","1817056","1859995","1915420","1950647","1946812","1946175","1933740","1963549","2024598","2117041","2212040","2302960","2377804","2443552","2541221","2750831","2994342","3170368","3389068","3627949","3814370","4064749","4148113","4258205","4211091",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","65 - 69세","추계인구","","428725","467031","455436","476567","511455","538406","557018","577862","596346","608411","623957","640668","658652","674263","690739","712208","739370","774362","816658","866053","900851","919104","938875","965304","1002718","1048214","1100172","1164709","1229902","1298093","1381212","1461093","1528114","1592234","1649747","1689609","1734658","1804867","1866427","1870279","1878314","1846336","1874691","1914508","2005729","2105631","2210004","2286519","2356588","2448622","2662232","2894911","3063850","3274183","3509250",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","70 - 74세","추계인구","","311808","321793","318364","316993","310619","335061","345540","357675","378315","405381","425995","441394","459713","475169","489218","506353","517741","535655","553867","570640","598852","619032","649470","690656","733184","766793","788665","813599","842637","881165","922213","963947","1023257","1081502","1140499","1214841","1294801","1362205","1426335","1492503","1539637","1587018","1674052","1754449","1763752","1779544","1729122","1756800","1795390","1886106","1990347","2090525","2164766","2234677","2322783",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","75 - 79세","추계인구","","149850","162497","164326","172242","181623","205140","215892","223076","223042","221813","227859","235639","254134","270403","288285","308108","317362","328409","341072","353200","393129","411385","425260","432880","441816","459426","484221","509498","540375","576492","608084","629856","654403","678767","713772","751853","791754","844714","898014","954171","1025532","1101326","1167399","1228474","1298398","1350503","1400166","1494315","1579149","1589635","1608464","1567444","1596539","1637098","1723662",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80세이상","추계인구","","100925","103202","106532","111452","116813","138840","143663","150745","159459","169337","178222","180478","186916","194699","205373","215180","226263","238002","250263","263092","302252","316920","332251","348153","364774","382219","421824","441505","456139","467826","483387","516029","551171","587361","626285","664484","704601","748890","797816","859933","922626","980499","1050587","1125228","1209247","1305490","1417791","1528426","1634958","1764631","1890824","2016985","2155978","2289858","2382540",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80 - 84세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310114","329611","350265","375966","404920","429246","448312","470006","492598","528386","565597","599815","643644","687406","733018","793916","867222","930279","987409","1055839","1109242","1157812","1238755","1311746","1322888",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","85 - 89세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128397","138867","150508","158543","165287","173940","188510","203971","224477","244803","261945","275332","290468","305257","335355","363551","391295","425167","458588","497418","548700","605532","646358","685925","737630",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","90 - 94세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37139","39163","41466","43367","46025","50264","56026","62191","67293","71866","77964","86046","95044","109626","116393","120958","128909","138080","147576","168248","187321","203889","218926","235791","258561",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","95 - 99세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6758","7294","7704","8184","8700","9516","10113","10958","11541","12800","14866","16966","18920","20321","21645","23923","26886","31033","37233","38355","40208","43381","45030","48645","56005",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","100세 이상","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979","1094","1228","1301","1353","1518","1640","1764","1907","2078","2254","2340","2511","2618","2836","3142","3479","3867","4152","4771","5353","6371","6909","7751","7456",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","계","추계인구","","16308607","16648884","16955438","17234877","17514223","17765828","18058503","18349416","18637254","18929361","19235736","19535680","19837392","20129120","20375175","20575600","20771997","20959980","21155226","21357389","21568181","21783914","22013655","22242554","22472496","22705329","22924512","23148092","23295727","23457837","23666769","23854971","23991377","24120872","24210740","24243234","24369561","24491190","24671648","24774341","24881114","25069867","25187380","25285319","25445077","25585894","25670949","25736793","25857689","25948706","25925697","25870941","25818686","25859888","25876776",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","0 - 4세","추계인구","","2362393","2412538","2447126","2458932","2455536","2373560","2277734","2189998","2122886","2081358","2087411","2109966","2129549","2136203","2084255","1995049","1908721","1806973","1741382","1722889","1687147","1711889","1760364","1812752","1859029","1893876","1895407","1872827","1829498","1766586","1716148","1658958","1573834","1488560","1409160","1315045","1227097","1192170","1191039","1174722","1172828","1193656","1200629","1188302","1179604","1175609","1148547","1102364","1045183","989933","911251","830797","766227","711053","663673",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","5 - 9세","추계인구","","2400902","2351739","2317049","2289895","2289501","2319163","2357566","2395908","2408848","2383807","2314435","2229556","2153742","2096080","2060357","2046870","2073931","2109423","2123004","2078155","1991341","1892414","1790092","1711765","1671042","1664291","1689685","1736754","1792374","1842718","1877208","1881924","1858210","1808293","1752569","1698879","1641923","1556291","1468935","1393600","1300568","1214418","1180798","1179593","1163582","1161732","1183575","1188607","1176909","1169113","1168681","1143757","1097221","1039269","981805",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","10 - 14세","추계인구","","2349947","2396532","2451025","2460133","2429491","2384577","2342590","2302362","2269220","2273652","2305805","2342517","2378037","2386003","2366607","2316422","2243103","2163735","2088582","2043883","2029056","2052888","2082673","2090973","2055540","1978698","1899255","1793390","1711884","1662899","1651269","1671109","1714089","1767832","1813909","1844524","1853437","1826108","1779836","1729504","1682748","1630159","1550478","1464013","1389826","1294946","1209141","1173575","1172580","1157242","1161061","1183139","1189663","1176998","1167483",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","15 - 19세","추계인구","","1688217","1809311","1926265","2046212","2157237","2240011","2301340","2350952","2384182","2378013","2343977","2286198","2242817","2226838","2240935","2272313","2308439","2342692","2358183","2341468","2289382","2215342","2134720","2062442","2017721","2010189","2030805","2070863","2088473","2062556","1987021","1876518","1765454","1680219","1630004","1621106","1637309","1683355","1740377","1788329","1821378","1842937","1821485","1779769","1728466","1684718","1632747","1554471","1470638","1397832","1307326","1216428","1183580","1188393","1171771",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","20 - 24세","추계인구","","1314867","1349350","1397225","1421584","1468221","1570423","1711349","1814081","1903754","1992601","2078090","2180617","2235847","2244086","2218868","2185328","2179523","2161770","2144822","2160951","2237534","2282016","2319533","2331611","2310177","2259595","2194125","2111495","2034268","1992175","1989852","2025970","2066245","2087878","2056353","1969021","1874314","1772836","1695754","1658347","1654707","1678222","1734689","1794501","1844096","1877884","1903218","1882066","1860305","1823024","1779560","1711404","1620461","1548436","1486372",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","25 - 29세","추계인구","","1207106","1193169","1194881","1223388","1257320","1289827","1317288","1354062","1407774","1485232","1584377","1692645","1790014","1893189","1992653","2092942","2140451","2184804","2215868","2215298","2222615","2189388","2165343","2159527","2177475","2210162","2222172","2258208","2261150","2252178","2232158","2179040","2098801","2036930","1992129","1981697","2024586","2073207","2096715","2071602","1989754","1909497","1808875","1734720","1714497","1730403","1739228","1791765","1868033","1924269","1949923","1962374","1933726","1915057","1878599",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","30 - 34세","추계인구","","1129990","1148290","1166998","1162405","1154727","1137048","1140414","1169762","1215645","1270576","1320116","1353919","1398963","1460106","1540638","1626661","1726765","1810698","1921027","2023780","2123583","2187801","2232004","2247695","2234505","2204571","2187039","2172352","2148305","2150092","2176913","2213068","2255001","2285705","2279293","2240142","2180616","2109088","2045263","1992214","2000527","2049481","2094985","2111042","2096735","2015092","1922760","1825165","1764834","1743237","1745712","1745107","1796779","1883794","1938196",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","35 - 39세","추계인구","","920441","971765","1020101","1066617","1100456","1123445","1144977","1166571","1177062","1174643","1168846","1170953","1192121","1232128","1282221","1314595","1341391","1383009","1406584","1453648","1562784","1679109","1787559","1900657","2009543","2095913","2148707","2198346","2210902","2199114","2180572","2166558","2153573","2142489","2166489","2184835","2228330","2273836","2309682","2289453","2252710","2181088","2101052","2028863","1982864","2004556","2044466","2089929","2114600","2095902","1999740","1907424","1808706","1750443","1731341",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","40 - 44세","추계인구","","695800","718462","743874","781933","828202","887724","949159","1002288","1047568","1083740","1110891","1137936","1163656","1172788","1168830","1165918","1165761","1176211","1201983","1241917","1268797","1301987","1332496","1366473","1426899","1527547","1641684","1742628","1853383","1964249","2045158","2113646","2169132","2201473","2192667","2165148","2139138","2130204","2117845","2164790","2192383","2240870","2279295","2305325","2286346","2248961","2160777","2083256","2021308","1970422","1979773","2020470","2067075","2087030","2069513",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","45 - 49세","추계인구","","623917","626273","622886","623922","635119","650006","670994","704404","747213","797311","859667","919177","965593","1007134","1043789","1073822","1099493","1123269","1132978","1127174","1100340","1095429","1107613","1140436","1184655","1225938","1266396","1301587","1330322","1383436","1483122","1598458","1697943","1812161","1924199","2000124","2089417","2142938","2196142","2184842","2166821","2133627","2124531","2089888","2169125","2199587","2241597","2278705","2308830","2280977","2225868","2138197","2061862","1995415","1947890",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","50 - 54세","추계인구","","504235","514448","528379","550741","569661","580476","584284","585688","587255","594640","607140","630060","666215","710345","760825","814133","863615","911411","957429","997839","1001442","1024861","1049469","1058595","1053212","1045400","1040241","1060928","1099849","1149801","1194103","1224816","1261221","1292202","1341081","1436212","1554676","1648729","1770211","1887016","1972536","2085550","2136013","2190098","2180821","2165419","2112259","2107628","2075419","2159754","2177535","2221205","2258061","2281401","2252613",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","55 - 59세","추계인구","","403184","416503","413697","413557","421197","435319","452778","473166","498041","518057","528205","529106","530231","535138","546814","564617","586187","618856","657283","698631","739200","788855","832888","873455","907157","932110","947145","970309","980344","979909","981156","990089","1012176","1047715","1095353","1136993","1174921","1212829","1251007","1297637","1397202","1519137","1608745","1719950","1841582","1932408","2054239","2102223","2164174","2147149","2121562","2068337","2068112","2034448","2117431",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","60 - 64세","추계인구","","299491","312145","313400","317671","317665","320952","336620","349839","359231","369793","382208","391953","405033","421952","437544","449283","456346","460271","465153","475876","493103","515094","545528","581164","622405","670698","719920","763853","799938","828732","852303","875583","901451","920359","923453","928692","930455","951179","986275","1035802","1083119","1126838","1164089","1195750","1243960","1345931","1466124","1554982","1668124","1787518","1876783","1999375","2042614","2101922","2082774",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","65 - 69세","추계인구","","178840","196448","188800","197881","214018","225695","233858","243781","251992","256937","263454","271107","279657","287396","294903","303471","314236","328403","346607","367064","375468","379487","384640","393008","406538","424965","449576","477897","512154","551423","595086","637330","676884","711353","740526","764040","788456","822884","855346","861451","871002","863928","883241","908072","958234","1009632","1059400","1098706","1132243","1177211","1280138","1394231","1478069","1584823","1700794",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","70 - 74세","추계인구","","139249","136981","130081","123544","117351","121921","128280","133976","142897","154087","162400","168560","175629","181807","188216","197029","201682","208766","215339","222274","234292","242700","254547","269882","285254","297065","305777","313712","323974","337200","353411","371625","396315","425721","457420","494667","534440","571360","604560","637772","664268","689761","733285","775208","783053","796175","780645","800334","825893","876494","928928","975339","1012668","1045428","1087769",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","75 - 79세","추계인구","","56261","60229","58837","60479","62222","68485","71525","73696","72632","71238","73846","76421","83840","89588","96046","103369","105534","109645","115578","119565","132365","140919","146260","149838","154503","162677","171472","181842","192944","204497","215420","224127","232732","241516","252637","265655","281091","301667","326089","353244","386793","422066","454917","485151","518840","546349","573514","620799","663906","672113","685809","675869","696606","722713","768879",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","80세이상","추계인구","","33767","34701","34814","35983","36299","37196","37747","38882","41054","43676","44868","44989","46448","48339","51674","53778","56819","60044","63424","66977","79732","83735","87926","92281","96841","101634","115106","121101","125965","130272","135869","146152","158316","170466","183498","196454","209355","222509","236572","254016","271770","288632","310273","335074","363446","396492","438712","482218","524710","576516","626047","677488","737256","793265","829873",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","80 - 84세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95912","102574","110728","119483","128928","137401","144246","150705","157822","167548","178050","189129","204670","222240","241136","266996","299295","328523","355506","387167","412934","438090","476263","510831","518803",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","85 - 89세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31792","34821","38111","40967","43798","46981","51536","56685","61896","67954","72981","76453","79849","83433","90390","96002","104270","115958","128236","143004","162714","184329","201240","217654","238467",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","90 - 94세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7115","7634","8266","8674","9341","10493","11788","13145","14740","16099","17855","19834","22157","25415","27414","28260","29319","30906","32865","37779","41611","45872","50323","54970","61639",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","95 - 99세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966","1026","1092","1205","1287","1411","1607","1784","1908","2178","2615","2917","3268","3632","4108","4790","5352","6289","7505","7776","7927","8158","8291","8601","9811",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","100세 이상","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","97","119","137","144","168","178","190","206","237","269","299","329","354","398","444","476","542","598","790","861","1039","1139","1209","1153",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","계","추계인구","","15932220","16233820","16549968","16868272","17178043","17514897","17790020","18062379","18331931","18604875","18888039","19187568","19488960","19781283","20030781","20230144","20441677","20661710","20876021","21091649","21301102","21511790","21734307","21952074","22169044","22387662","22600169","22805488","22990776","23158840","23341342","23515193","23653359","23771458","23871779","23941327","24068731","24192448","24383060","24533494","24672998","24866771","25012473","25143574","25301582","25429053","25546854","25625118","25727369","25816116","25910542","25898598","25853883","25852731","25874289",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","0 - 4세","추계인구","","2185784","2207043","2228379","2236381","2233746","2167499","2102367","2032844","1984224","1943823","1946316","1965926","1982810","1983512","1928889","1850484","1756018","1662889","1589371","1554953","1516056","1526977","1555810","1590381","1624254","1651828","1663666","1651248","1623310","1582587","1543635","1503900","1432527","1354562","1290396","1209243","1132710","1106072","1110359","1098912","1098975","1121917","1130292","1121025","1115412","1114488","1091563","1048855","993553","940411","865365","788033","727814","676677","632988",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","5 - 9세","추계인구","","2228980","2173132","2140397","2123629","2133086","2158996","2183011","2215771","2217987","2200879","2143991","2087082","2014610","1960725","1930173","1920797","1943319","1973804","1986263","1943648","1852140","1752238","1650813","1569336","1520622","1502462","1498797","1533243","1574956","1616434","1644256","1651084","1636050","1608093","1568853","1534686","1494147","1420331","1340216","1277896","1197359","1121978","1096153","1100229","1088920","1089368","1113571","1120380","1112018","1107062","1109604","1088040","1044863","988475","933128",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","10 - 14세","추계인구","","2181361","2223105","2274496","2280415","2248711","2210608","2171562","2136224","2112864","2121796","2152817","2189989","2227852","2238445","2221479","2174920","2104741","2029553","1958843","1917603","1897852","1922314","1951674","1959321","1922959","1845673","1756467","1645640","1559495","1501670","1478713","1485477","1517638","1557566","1595626","1620883","1630271","1613410","1588438","1554630","1526961","1489332","1418881","1339075","1276349","1193740","1118166","1090502","1094811","1084319","1089908","1114575","1122176","1112763","1106168",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","15 - 19세","추계인구","","1581139","1690605","1797182","1913894","2017314","2094258","2153668","2195834","2219836","2209512","2175712","2125736","2088285","2077982","2098219","2135464","2173491","2207280","2223167","2209053","2152632","2081699","2004038","1934137","1891953","1886759","1922711","1960903","1972151","1936599","1855411","1739011","1625789","1536701","1478831","1458955","1465976","1500646","1541647","1580489","1607415","1625599","1614091","1593281","1561263","1537550","1499457","1427984","1349367","1288144","1210892","1129458","1104293","1112684","1101072",
